Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Loss Location City,Loss Location County,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:13
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:12
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:12
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:11
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:11
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:10
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:09
,EXT-DUP-A,1,Dup,Name,Dup Name,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:09
,EXT-002,1,Tony,Stark,Tony Stark,Natasha,Romanoff,Natasha Romanoff,Peter,Parker,Peter Parker,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:08
,EXT-001,1,Diana,Prince,Diana Prince,Bruce,Wayne,Bruce Wayne,Clark,Kent,Clark Kent,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:58:07
,CLM-7741f9,1,,,N/A,Test,User,Test User,,,N/A,,,,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 01:46:34
