Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Loss Location City,Loss Location County,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
MAP-984f04,MAP-984f04,001,John,Doe,John Doe,,,N/A,,,N/A,04/01/2024,Florida,Florida,,,SCRAPING_IN_PROGRESS,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:32:18
MAP-984f04,MAP-984f04,001,John,Doe,John Doe,,,N/A,,,N/A,04/01/2024,Florida,Florida,,,SCRAPING_IN_PROGRESS,NEW,,IN_PROGRESS,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:32:18
,QUEUE-ADV-4939f4,1,,,N/A,,,N/A,,,N/A,,,,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:29:23
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:48
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,MANUAL_REVIEW,PENDING_REVIEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:47
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,COMPLETED,COMPLETED,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:47
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,COMPLETED,COMPLETED,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:47
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,COMPLETED,COMPLETED,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:46
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,COMPLETED,COMPLETED,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:46
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:43
,EXT-DUP-A,1,Dup,Name,Dup Name,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:43
,EXT-002,1,Tony,Stark,Tony Stark,Natasha,Romanoff,Natasha Romanoff,Peter,Parker,Peter Parker,01/15/2024,Florida,Florida,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:42
,EXT-001,1,Diana,Prince,Diana Prince,Bruce,Wayne,Bruce Wayne,Clark,Kent,Clark Kent,01/15/2024,Florida,Florida,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:41
,CLM-ec637a,1,,,N/A,Test,User,Test User,,,N/A,,,,,,NO_MATCH_FOUND,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-09 02:28:30
