Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Loss Location City,Loss Location County,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:34
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:33
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:32
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:32
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:32
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:31
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:28
,EXT-DUP-A,1,Dup,Name,Dup Name,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:28
,EXT-002,1,Tony,Stark,Tony Stark,Natasha,Romanoff,Natasha Romanoff,Peter,Parker,Peter Parker,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:27
,EXT-001,1,Diana,Prince,Diana Prince,Bruce,Wayne,Bruce Wayne,Clark,Kent,Clark Kent,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:35:26
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:17
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:16
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:16
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:15
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:15
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:14
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:12
,EXT-DUP-A,1,Dup,Name,Dup Name,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:12
,EXT-002,1,Tony,Stark,Tony Stark,Natasha,Romanoff,Natasha Romanoff,Peter,Parker,Peter Parker,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:11
,EXT-001,1,Diana,Prince,Diana Prince,Bruce,Wayne,Bruce Wayne,Clark,Kent,Clark Kent,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:32:10
,DB-EXISTS-777,1,PreExisting,,PreExisting,,,N/A,,,N/A,,Florida,,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 18:29:47
