Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Loss Location City,Loss Location County,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:18:06
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:18:05
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:18:04
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:18:03
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:18:03
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:18:02
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:17:59
,EXT-DUP-A,1,Dup,Name,Dup Name,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:17:59
,EXT-002,1,Tony,Stark,Tony Stark,Natasha,Romanoff,Natasha Romanoff,Peter,Parker,Peter Parker,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:17:57
,EXT-001,1,Diana,Prince,Diana Prince,Bruce,Wayne,Bruce Wayne,Clark,Kent,Clark Kent,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:17:56
,TEST_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:17:52
,TEST_GW_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:17:50
,TEST_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:11:10
,TEST_GW_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:11:08
,TEST_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:10:42
,TEST_GW_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:10:40
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:53
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:52
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:51
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:50
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:49
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:49
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:06:44
