Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Loss Location City,Loss Location County,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
PK-COL-TEST,12COL-20260910202627078295,3,Tricia,McMillan,Tricia McMillan,Arthur,Dent,Arthur Dent,Zaphod,Beeblebrox,Zaphod Beeblebrox,05/20/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:26:27
,TEST_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:59
,TEST_GW_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:56
,FST-006,1,Old,Case,Old Case,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:43
,FST-005,1,Partial,Match,Partial Match,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:42
,FST-004,1,Emma,Wilson,Emma Wilson,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:41
,FST-003,1,Mark,Torres,Mark Torres,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:40
,FST-002,1,Henry,Adams,Henry Adams,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:39
,FST-001,1,Alice,Johnson,Alice Johnson,Carol,Martinez,Carol Martinez,Bob,Williams,Bob Williams,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:38
,EXT-DUP-B,1,Dup,Name,Dup Name,Z2,Z2,Z2 Z2,X2,Y2,X2 Y2,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:33
,EXT-DUP-A,1,Dup,Name,Dup Name,Z,Z,Z Z,X,Y,X Y,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:33
,EXT-002,1,Tony,Stark,Tony Stark,Natasha,Romanoff,Natasha Romanoff,Peter,Parker,Peter Parker,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:31
,EXT-001,1,Diana,Prince,Diana Prince,Bruce,Wayne,Bruce Wayne,Clark,Kent,Clark Kent,01/15/2024,Florida,Florida,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:30
,CLM-dd89d0,1,,,N/A,Test,User,Test User,,,N/A,,,,,,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-10 20:25:00
