Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-12 11:54:05
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-12 11:54:05
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-12 02:35:40
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-12 02:35:39
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-12 02:33:01
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-12 02:33:00
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-11 11:19:21
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-11 11:19:20
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-11 05:01:23
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,COMPLETED,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-11 05:01:23
,123456789,001,Marco,Rodriguez,Marco Rodriguez,Sergio,Gonzalez,Sergio Gonzalez,John,Doe,John Doe,06/07/2024,FL,TX,SCRAPING_IN_PROGRESS,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-11 05:00:36
