Primary Key,Claim Number,Exposure Number,Insured First Name,Insured Last Name,Insured Party,Claimant First Name,Claimant Last Name,Claimant Party,Driver First Name (Insured Vehicle),Driver Last Name (Insured Vehicle),Driver,DOL,Policy State,Loss Location State,Status,Fuzzy Match,Total Duration (s),Broward Bot,Hillsborough Bot,Miami-Dade Bot,Travis Bot,Dallas Bot,Harris JP Bot,Harris Clerk Bot,Harris District Bot,Created At
,EXP-PARITY-44c582,1,Arthur,Dent,Arthur Dent,Ford,Prefect,Ford Prefect,,,N/A,,FL,FL,COMPLETED,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:46:11
,EXP-PARITY-78a761,1,Arthur,Dent,Arthur Dent,Ford,Prefect,Ford Prefect,,,N/A,,FL,FL,COMPLETED,NO_MATCH_FOUND,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:52
,TEST_DATEFILED_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:32
,TEST_MATCH_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:27
,TEST_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:22
,TEST_GW_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:20
,TEST_DATEFILED_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:14
,TEST_MATCH_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:09
,TEST_EXP_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:04
,TEST_GW_001,001,,,N/A,,,N/A,,,N/A,,FL,FL,NEW,NEW,,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,NOT_TRIGGERED,2026-09-13 11:45:02
